"tackle_oppId","tackle","made_first_contact","x_s","y_s","x_s_bc","y_s_bc","x_a","y_a","x_a_bc","y_a_bc","x_s_diff","y_s_diff","x_adiff","y_a_diff","dis_from_los_x","dis_from_los_y","x_diff","y_diff","o_bc","o","o_diff"
2,1,0,2.34129042600948,0.57136603073367,0.601071777416514,0.152028676220485,4.25512533855665,1.03841627162385,-0.79202036160027,-3.13139006621829,1.74021864859297,0.419337354513184,5.04714570015692,4.16980633784214,15.84,7.25333333333333,0.809999999999995,0.530000000000001,185.1,222.81,-37.71
4,1,1,-4.81221675215126,-1.28178388596315,-5.86275724138035,-4.74127382974684,-2.64768552226796,-0.705238523602213,1.02497033719991,1.26741303759283,1.05054048922909,3.4594899437837,-3.67265585946788,-1.97265156119505,13.47,12.7333333333333,1.18,-0.140000000000001,40.21,107.57,-67.36
6,1,1,4.51999426740848,0.00719879118251846,-1.20341384450497,-6.51986925626993,4.79999391229219,0.00764473399913464,5.28079908087021,0.974710760933888,5.72340811191345,6.52706804745245,-0.480805168578024,-0.967066026934753,11.38,13.8933333333333,1.02999999999999,1.32,17.22,242.78,-225.56
8,1,1,-5.57437969463558,-1.45047958277067,-3.27775121182673,-4.57747168132894,-5.07113708331431,-1.3195335093261,2.95950211723576,2.11918550817927,-2.29662848280884,3.12699209855827,-8.03063920055007,-3.43871901750537,11.67,18.9433333333333,1.04,-0.0499999999999972,44.8,170.2,-125.4
11,1,1,4.79558424999194,-4.38775246581086,3.26309561748796,-5.56369544377933,1.4755643846129,-1.35007768178796,1.08686143552899,-0.637441934579043,1.53248863250398,1.17594297796847,0.388702949083918,-0.712635747208914,24.66,-1.06666666666667,-0.539999999999992,1.23,325.72,299.25,26.47
13,1,1,-1.46036810335101,-0.850543945199168,-2.87152270395017,-2.78466467652726,-2.13438415105148,-1.24310268913725,1.92141862680381,1.98135066572562,1.41115460059916,1.93412073132809,-4.05580277785529,-3.22445335486287,40.82,14.9133333333333,-0.669999999999987,0.0100000000000051,89.64,334.12,-244.48
15,1,1,-7.89856822743929,-3.32528494365319,-6.54179462513031,-3.32874196696231,-1.01381855894787,-0.426816037108344,1.31517053190609,2.58463275379808,-1.35677360230897,0.00345702330912578,-2.32898909085396,-3.01144879090642,47.97,19.5433333333333,0.150000000000006,-0.980000000000004,180.23,86.04,94.19
18,1,1,2.95351579685761,-2.24518249541381,0.739245292828383,-4.39830835629235,1.03492467275334,-0.786721629120742,3.15573693725011,-0.530400210101082,2.21427050402922,2.15312586087854,-2.12081226449677,-0.25632141901966,11.42,-1.13333333333333,0.239999999999998,1.03,77.87,245.06,-167.19
20,1,0,-0.966988832620298,0.480970474756646,-0.929921367544912,-2.13638625959432,-2.71294089151806,1.3493893875117,3.76847533344749,1.64033339940326,-0.0370674650753864,2.61735673435096,-6.48141622496555,-0.290944011891557,12.04,-2.14333333333333,-0.599999999999998,-0.130000000000003,337.56,175.21,162.35
24,1,1,-1.44007575408482,-0.976617541567337,-1.39545790902297,-3.66320859686494,-0.422091169300724,-0.286249969080082,3.37351608027614,1.28510281927881,-0.0446178450618513,2.68659105529761,-3.79560724957686,-1.57135278835889,8.23,3.86666666666667,0.730000000000004,-0.809999999999999,7.64,103.22,-95.58
26,1,1,-1.46793840314493,3.76387524296068,-4.26649419644663,-5.47363017308323,-0.941079322808259,2.41297942556143,1.83768851632333,1.43241087575226,2.7985557933017,9.23750541604391,-2.77876783913159,0.98056854980917,17.72,22.4566666666666,0.240000000000002,-0.289999999999999,349.18,149.62,199.56
30,1,1,-0.809771278602843,3.66152570335781,-0.715175331307581,-0.887763620277994,-0.719076895399325,3.25143482458174,4.4310307012121,3.56960318871942,-0.0945959472952622,4.54928932363581,-5.15010759661142,-0.318168364137683,14.89,6.39666666666666,1.09999999999999,-0.18,213.67,165.52,48.15
32,1,1,-0.946594562188013,-2.17275372162518,-1.40295772077161,-3.46688760038847,-1.02248188995836,-2.34694072884408,0.741580235377213,0.300097908186442,0.456363158583601,1.29413387876329,-1.76406212533557,-2.64703863703052,15.56,7.39333333333333,-0.32,-0.620000000000005,3.04000000000002,355.66,-352.62
34,1,0,-5.1879806182439,-0.577284249504226,1.16280327119803,-4.51259222094033,-0.99386601882067,-0.110590852395446,2.47902061922902,-0.638793213362009,-6.35078388944193,3.9353079714361,-3.47288663804969,0.528202360966564,19.09,10.5933333333333,-0.460000000000001,-0.199999999999996,165.16,53.15,112.01
37,1,1,4.52142144084092,2.66819192606229,3.66630993544482,-1.41529906989958,1.64493618133451,0.970713634053137,1.48372319796089,-3.84356156082256,0.855111505396108,4.08349099596187,0.161212983373622,4.81427519487569,22.14,-24.5366666666667,0.890000000000001,0.72,254.9,211.98,42.92
39,1,1,5.24754720948685,-1.23099483516658,5.32327540412122,-2.12029219021297,2.18079884030622,-0.511582269160138,1.21371001464198,-3.04718033604146,-0.0757281946343697,0.889297355046385,0.967088825664246,2.53559806688133,12.58,-21.5366666666667,-0.0700000000000003,0.9,339.74,10.79,328.95
41,1,0,2.04780933603934,2.08155637041857,0.678580995710629,-0.240682014825311,1.31845258621711,1.34018012889962,0.982784893870021,-2.77087239915173,1.36922834032871,2.32223838524388,0.335667692347088,4.11105252805136,48.81,12.0533333333333,1.06999999999999,0.539999999999999,349.88,217.03,132.85
43,1,1,-0.131784645194392,2.90701441470299,2.29996041363516,-0.304273061100004,-0.201979215658759,4.45542415449325,0.188859141372416,-1.42756163604941,-2.43174505882956,3.211287475803,-0.390838357031176,5.88298579054266,14.27,7.92666666666667,1.2,-0.289999999999999,267.61,161.98,105.63
45,1,1,-0.168742004560867,2.07314402198612,-0.391828992047467,-2.64109258470639,-0.411308636117114,5.05328855359116,2.29488194626173,0.340465641030009,0.2230869874866,4.71423660669251,-2.70619058237884,4.71282291256116,8.01,-21.1866666666667,1.28,-0.170000000000001,335.86,138.36,197.5
50,1,1,-2.66334204236055,1.66319246192217,-2.18198509150836,1.67375059684388,-1.3740809263134,0.858080187361121,-0.687759336157668,0.89659751032889,-0.481356950852189,-0.0105581349217094,-0.686321590155736,-0.0385173229677684,36.66,0.173333333333332,-0.129999999999995,0.84,105.75,200.63,-94.88
54,1,1,-2.16825782324808,3.33752273579125,-0.976716223573018,-0.161633593690365,-2.11922686744599,3.26205111613768,0.845719207389991,5.11049498798811,-1.19154159967506,3.49915632948161,-2.96494607483598,-1.84844387185044,20.21,-10.5433333333333,1.26,-0.139999999999999,177.64,183.4,-5.76000000000002
56,1,0,0.751851779733647,1.01109786930413,1.81123947521632,1.5129479711537,0.220781871826547,0.296909691779784,-0.814171153968305,-0.974692429459632,-1.05938769548268,-0.501850101849572,1.03495302579485,1.27160212123942,60.69,-18.1633333333333,-0.310000000000002,0.739999999999991,172.17,65.72,106.45
57,0,1,-0.821401176984647,2.50896395080683,-0.430083873248122,-2.95890653146934,-2.09083935959728,6.38645369296285,4.06725947971203,0.591185524765814,-0.391317303736525,5.46787048227617,-6.15809883930931,5.79526816819704,59.17,-17.7633333333333,1.23999999999999,-0.5,47.2,128.58,-81.38
59,1,1,-4.66378877769462,-1.77459128732499,-2.53465012492159,-1.66025562617175,-0.691623987072949,-0.263165842208515,2.36709713038348,3.61375859394762,-2.12913865277302,-0.11433566115324,-3.05872111745643,-3.87692443615614,13.83,11.8133333333333,0.300000000000004,0.650000000000006,122.94,163.96,-41.02
61,1,1,-2.60936955326042,0.0573631808525011,-0.950446521877891,-2.7504093166382,-2.01951206804063,0.0443960250276062,2.07934724969211,0.718550635096687,-1.65892303138253,2.8077724974907,-4.09885931773274,-0.674154610069081,17.97,-5.64666666666667,0.609999999999999,-0.890000000000001,120.01,172.88,-52.87
